date,time,temperature_2m,temp_f
2026-07-16,2026-07-16T14:30,16.1,61.0
2026-07-16,2026-07-16T14:45,16.0,60.8
2026-07-16,2026-07-16T15:00,16.1,61.0
2026-07-16,2026-07-16T15:45,15.4,59.7
2026-07-16,2026-07-16T15:45,15.4,59.7
2026-07-17,2026-07-17T02:00,8.6,47.5
2026-07-17,2026-07-17T06:15,9.0,48.2
2026-07-17,2026-07-17T10:45,15.5,59.9
2026-07-17,2026-07-17T13:15,16.2,61.2
2026-07-17,2026-07-17T13:15,16.2,61.2
2026-07-17,2026-07-17T13:30,16.2,61.2
2026-07-17,2026-07-17T13:30,16.2,61.2
2026-07-17,2026-07-17T13:30,16.2,61.2
2026-07-17,2026-07-17T13:30,16.2,61.2
2026-07-17,2026-07-17T14:00,16.1,61.0
2026-07-17,2026-07-17T15:30,15.8,60.4
2026-07-18,2026-07-18T01:45,9.4,48.9
2026-07-18,2026-07-18T06:00,8.2,46.8
2026-07-18,2026-07-18T10:45,16.2,61.2
2026-07-18,2026-07-18T15:30,16.6,61.9
2026-07-19,2026-07-19T02:00,10.6,51.1
2026-07-19,2026-07-19T10:45,17.4,63.3
2026-07-19,2026-07-19T15:30,13.6,56.5
2026-07-20,2026-07-20T02:45,10.3,50.5
2026-07-20,2026-07-20T06:45,10.7,51.3
2026-07-20,2026-07-20T15:45,14.6,58.3
2026-07-21,2026-07-21T02:15,9.5,49.1
2026-07-21,2026-07-21T06:15,9.0,48.2
2026-07-21,2026-07-21T11:00,14.5,58.1
2026-07-21,2026-07-21T15:45,15.1,59.2
2026-07-22,2026-07-22T02:15,9.9,49.8
2026-07-22,2026-07-22T06:15,8.2,46.8
2026-07-22,2026-07-22T11:00,15.6,60.1
2026-07-22,2026-07-22T15:45,15.9,60.6
2026-07-23,2026-07-23T02:15,11.3,52.3
2026-07-23,2026-07-23T06:30,11.4,52.5
2026-07-23,2026-07-23T11:00,19.3,66.7
2026-07-23,2026-07-23T15:45,18.1,64.6
2026-07-24,2026-07-24T06:15,12.2,54.0
2026-07-24,2026-07-24T11:00,18.5,65.3
2026-07-24,2026-07-24T15:45,18.0,64.4
2026-07-25,2026-07-25T01:45,11.4,52.5
2026-07-25,2026-07-25T06:00,10.4,50.7
2026-07-25,2026-07-25T10:45,18.2,64.8
2026-07-26,2026-07-26T06:00,10.6,51.1
2026-07-26,2026-07-26T10:45,17.2,63.0
2026-07-26,2026-07-26T15:45,16.6,61.9
2026-07-27,2026-07-27T03:30,9.2,48.6
2026-07-27,2026-07-27T07:15,9.9,49.8
2026-07-27,2026-07-27T11:15,17.1,62.8
2026-07-27,2026-07-27T15:45,17.0,62.6
2026-07-28,2026-07-28T02:30,11.5,52.7
2026-07-28,2026-07-28T06:45,10.9,51.6
2026-07-28,2026-07-28T11:00,18.3,64.9
2026-07-29,2026-07-29T02:30,9.2,48.6
2026-07-29,2026-07-29T11:00,15.4,59.7
2026-07-30,2026-07-30T02:15,10.3,50.5
2026-07-30,2026-07-30T11:00,18.3,64.9
2026-07-30,2026-07-30T15:45,17.4,63.3
2026-07-31,2026-07-31T02:30,12.0,53.6
2026-07-31,2026-07-31T06:45,12.7,54.9
2026-07-31,2026-07-31T15:45,19.3,66.7
2026-08-01,2026-08-01T02:00,14.3,57.7
2026-08-01,2026-08-01T06:00,12.8,55.0
2026-08-01,2026-08-01T10:45,20.8,69.4
2026-08-01,2026-08-01T15:45,19.5,67.1
2026-08-02,2026-08-02T02:00,13.2,55.8
2026-08-02,2026-08-02T15:45,18.6,65.5
2026-08-03,2026-08-03T03:30,11.8,53.2
2026-08-03,2026-08-03T07:15,11.9,53.4
2026-08-03,2026-08-03T11:45,19.3,66.7
2026-08-03,2026-08-03T15:45,18.9,66.0
2026-08-04,2026-08-04T02:30,12.3,54.1
2026-08-04,2026-08-04T06:45,11.6,52.9
2026-08-04,2026-08-04T11:15,19.3,66.7
2026-08-05,2026-08-05T02:30,12.5,54.5
2026-08-05,2026-08-05T06:45,11.7,53.1
2026-08-05,2026-08-05T11:15,19.2,66.6
2026-08-05,2026-08-05T15:45,19.8,67.6
2026-08-06,2026-08-06T06:45,12.6,54.7
2026-08-07,2026-08-06T18:15,17.9,64.2
2026-08-07,2026-08-07T05:45,13.9,57.0
2026-08-07,2026-08-07T10:30,20.3,68.5
2026-08-07,2026-08-07T15:15,19.0,66.2
2026-08-08,2026-08-08T05:30,12.4,54.3
2026-08-09,2026-08-09T00:45,12.9,55.2
2026-08-09,2026-08-09T10:15,19.3,66.7
2026-08-09,2026-08-09T15:15,18.9,66.0
2026-08-10,2026-08-10T01:15,11.6,52.9
2026-08-10,2026-08-10T05:45,10.2,50.4
2026-08-10,2026-08-10T10:45,17.2,63.0
2026-08-10,2026-08-10T15:30,17.6,63.7
2026-08-11,2026-08-11T01:00,9.8,49.6
2026-08-11,2026-08-11T10:45,15.9,60.6
2026-08-11,2026-08-11T15:30,15.7,60.3
2026-08-12,2026-08-12T01:00,9.3,48.7
2026-08-12,2026-08-12T05:45,6.7,44.1
2026-08-13,2026-08-13T01:00,6.5,43.7
2026-08-13,2026-08-13T05:45,4.8,40.6
2026-08-13,2026-08-13T10:45,11.5,52.7
2026-08-13,2026-08-13T15:30,10.5,50.9
2026-08-14,2026-08-14T01:00,4.8,40.6
2026-08-14,2026-08-14T10:45,12.0,53.6
2026-08-14,2026-08-14T15:15,13.2,55.8
2026-08-15,2026-08-15T00:15,6.3,43.3
2026-08-15,2026-08-15T15:00,14.0,57.2
2026-08-16,2026-08-16T00:15,6.9,44.4
2026-08-16,2026-08-16T10:00,13.1,55.6
2026-08-16,2026-08-16T15:00,15.5,59.9
2026-08-17,2026-08-17T00:45,8.9,48.0
2026-08-17,2026-08-17T05:30,7.9,46.2
2026-08-17,2026-08-17T10:15,14.9,58.8
2026-08-17,2026-08-17T15:15,15.0,59.0
2026-08-18,2026-08-18T00:30,9.6,49.3
2026-08-18,2026-08-18T05:30,8.7,47.7
