date,max_temp,min_temp
2021-08-01,15.4,5.2
2021-08-02,18.1,5.7
2021-08-03,19.9,6.6
2021-08-04,19.4,7.3
2021-08-05,18.0,7.8
2021-08-06,18.0,6.4
2021-08-07,19.2,5.2
2021-08-08,17.9,7.7
2021-08-09,18.5,6.5
2021-08-10,18.5,8.2
2021-08-11,19.1,7.4
2021-08-12,20.1,8.5
2021-08-13,19.7,7.7
2021-08-14,20.1,8.2
2022-08-01,13.6,7.3
2022-08-02,14.7,6.6
2022-08-03,16.6,7.4
2022-08-04,15.7,8.2
2022-08-05,12.2,6.1
2022-08-06,15.8,5.6
2022-08-07,17.9,5.6
2022-08-08,15.9,7.5
2022-08-09,13.9,7.9
2022-08-10,15.3,5.4
2022-08-11,16.0,5.2
2022-08-12,16.8,5.1
2022-08-13,17.3,6.7
2022-08-14,17.8,6.3
2023-08-01,16.5,8.7
2023-08-02,16.9,6.0
2023-08-03,16.1,3.1
2023-08-04,18.8,5.6
2023-08-05,18.2,5.7
2023-08-06,19.3,5.4
2023-08-07,18.0,5.9
2023-08-08,17.2,5.4
2023-08-09,16.7,4.8
2023-08-10,15.6,7.1
2023-08-11,13.6,5.7
2023-08-12,14.8,4.1
2023-08-13,15.7,4.7
2023-08-14,16.3,5.8
2024-08-01,20.0,6.5
2024-08-02,15.2,8.7
2024-08-03,17.3,7.1
2024-08-04,18.3,8.3
2024-08-05,19.5,7.9
2024-08-06,20.0,9.4
2024-08-07,19.9,10.0
2024-08-08,20.0,8.9
2024-08-09,19.0,10.6
2024-08-10,20.2,7.6
2024-08-11,18.7,10.3
2024-08-12,16.8,7.6
2024-08-13,15.4,4.3
2024-08-14,16.5,5.8
2025-08-01,16.6,4.2
2025-08-02,17.8,3.3
2025-08-03,18.6,5.0
2025-08-04,17.3,3.7
2025-08-05,17.9,3.7
2025-08-06,19.0,5.5
2025-08-07,19.0,6.5
2025-08-08,20.0,6.3
2025-08-09,20.1,5.7
2025-08-10,20.3,7.4
2025-08-11,21.2,7.9
2025-08-12,21.9,8.1
2025-08-13,19.8,9.1
2025-08-14,18.5,6.3
